date,Tot,TotAdj,Age1635
2012-05-01,17.8175023738859,18.3199133623296,29.8368763108259
2012-06-01,17.8027673549817,18.2941097011127,30.077225793601
2012-07-01,17.9267468460199,18.4140183927721,29.5886672968722
2012-08-01,17.9009558746894,18.4341043819448,30.3080501815714
2012-09-01,18.118997592307,18.6913220264745,31.0312219293874
2012-10-01,18.4427024438692,18.8860447447466,30.0468417950269
2012-11-01,17.9714942025348,18.4897848908208,28.0236220857529
2012-12-01,18.0752987739876,18.8122479352501,29.0727881235271
2013-01-01,18.3446154897015,18.9957687807444,30.5180976011522
2013-02-01,18.2882153171694,18.9905439150714,30.2727834465355
2013-03-01,17.9946842322396,18.8236835143518,30.6756604069561
2013-04-01,18.0074322356296,18.67729073836,30.2175039351551
2013-05-01,17.6509578834483,18.5006130496272,30.7983972193871
2013-06-01,17.4453336570725,18.2684856593658,30.2952627692548
2013-07-01,17.3687780713406,18.1176069473436,30.4827221200244
2013-08-01,17.5205796263354,18.1817256261648,28.8554663750404
2013-09-01,17.9855370075561,18.8156969465285,31.8749618202446
2013-10-01,17.1836407994842,17.9449158645868,30.1672671788444
2013-11-01,17.0765391571689,17.8748411675413,30.2552506848024
2013-12-01,16.4785700838543,17.2246330967766,28.8394139166118
2014-01-01,16.2344791869231,16.8433405722665,28.1491478074715
2014-02-01,16.5557960210827,17.1322756560334,27.9555559549975
2014-03-01,16.7617755293413,17.5245234453928,29.3462847653063
2014-04-01,16.7198496597487,17.4662610148971,28.6652536259919
2014-05-01,16.7496450212091,17.5260168349767,28.8356546561277
2014-06-01,16.8512199702276,17.6485827506023,29.7225756376057
2014-07-01,16.9699922522759,17.9116633779618,31.3192194529625
2014-08-01,17.1837163211262,18.2272435318173,31.7683316390826
2014-09-01,17.4043114580729,18.4900865668151,31.6617285056446
2014-10-01,17.4463546520867,18.4057363191339,31.9240871294106
2014-11-01,17.6136181842161,18.6390711410051,32.460893769405
2014-12-01,17.9238089255165,18.7082723438791,32.9546891392411
2015-01-01,17.7707063636211,18.4607965032732,31.8000561557424
2015-02-01,17.7388668904739,18.6875444117717,33.4049961401446
2015-03-01,17.468166539947,18.3737141230563,30.0672369624093
2015-04-01,17.3359826687737,18.3679667455691,32.6488262891482
2015-05-01,17.5870650787631,18.5734266634001,32.5403789170927
2015-06-01,18.1278461783087,19.2678334628496,33.2491176656877
2015-07-01,17.6804930583505,18.6341439809916,30.0103786275836
2015-08-01,17.5121042153285,18.6148409660384,30.8445003455041
2015-09-01,16.8708730168756,18.1137127810698,30.4083020356687
2015-10-01,17.0442062401669,18.1985467472704,30.4763801387811
2015-11-01,16.8825047899924,18.0415133676538,30.5736596788705
2015-12-01,17.1908774679366,18.3867895393669,31.665343640133
2016-01-01,17.9032654467382,18.9824462291004,32.3757648809804
2016-02-01,17.1896288093236,18.1438360820143,29.694894062654
2016-03-01,17.6953187779411,18.8599047992465,31.0509213819673
2016-04-01,18.1815639184255,19.3528891507304,32.6532482911571
2016-05-01,18.2772655891408,19.5167357866861,33.504960912286
2016-06-01,18.0612952939182,19.2812122043867,32.1877890173212
2016-07-01,18.0405395901021,19.2698161152033,32.7608556201607
2016-08-01,17.5910563261741,18.7460593404155,31.5562711222728
2016-09-01,17.7608201215477,18.9150612525817,31.902294467243
2016-10-01,17.7793773807554,18.9906776128522,32.8475492992425
2016-11-01,17.9983077149705,19.1987230989515,32.0751930512572
2016-12-01,18.2537779775102,19.5499654334653,33.9450304757116
2017-01-01,17.943275681821,19.1161065656409,32.5118235829591
2017-02-01,18.4667059408609,19.5711397078459,33.5079538799954
2017-03-01,18.1814071588959,19.5456481685164,32.9692331646485
2017-04-01,17.9877211842821,19.1695414945631,30.8460176868241
2017-05-01,18.4914145555147,19.9430556819494,32.9794499923209
2017-06-01,18.8815000526827,20.3741194759232,34.1690030019561
2017-07-01,18.8157141366532,20.3819906959886,36.7179748150815
2017-08-01,18.8260160761497,20.2066037660738,36.0752100980287
2017-09-01,19.1766331878356,20.6135013139287,36.1206414323973
2017-10-01,19.1021988480645,20.5494021910749,36.8058678729665
2017-11-01,18.980474121067,20.4123694260354,37.5052804986272
2017-12-01,19.0954465769515,20.7517833236057,37.2265846056018
2018-01-01,19.1312474728711,20.7522567026952,38.3502758598065
2018-02-01,19.1109768334375,20.7819519648212,38.8893124637985
2018-03-01,19.5969700844332,21.6617279999912,40.7018531164429
2018-04-01,19.242001983493,20.9894970543863,38.1522158694443
2018-05-01,18.65758595642,20.4182994942022,37.108582020295
2018-06-01,18.5185315755226,20.3406887667823,38.0295633325546
2018-07-01,18.5835599199685,20.2738793898442,35.3961019655064
2018-08-01,19.1287741208135,20.8952682920972,36.3513487992319
2018-09-01,19.5105720611327,21.276999082893,37.1873477070031
2018-10-01,19.5005643574119,21.4009513627344,36.2878287717999
2018-11-01,19.3401468030377,21.2097653020475,35.9465419823793
2018-12-01,19.0592910951528,20.9516332392644,35.6667993850816
2019-01-01,19.20539765121,21.3000017846079,37.7912404392408
2019-02-01,19.2592530056823,21.2838131521574,36.4038763157037
2019-03-01,19.7027465356096,22.0215817875535,38.3294541514246
2019-04-01,19.4569195475588,21.4720355331145,39.065669874506
2019-05-01,19.2888569687287,21.3684670823019,38.1687270189955
2019-06-01,19.1866189260013,21.1319561918746,37.8276694723029
2019-07-01,19.3919024863831,21.5292937072172,38.5831340648056
2019-08-01,19.7677390997878,22.1118629384932,39.165315263383
2019-09-01,18.9665346194199,21.2334905139521,38.5060221516419
2019-10-01,18.76201753413,20.9066249324858,37.2147732713463
2019-11-01,19.1263234313836,21.5131716327059,40.111161999359
