DATE,A576RC1,A041RC1,A048RC1,PIROA
2007-06-01,6379.0,992.1,187.3,2200.8
2007-07-01,6388.4,990.6,187.3,2206.6
2007-08-01,6381.9,983.6,187.6,2215.8
2007-09-01,6422.1,981.1,187.7,2233.3
2007-10-01,6431.8,977.5,186.9,2231.0
2007-11-01,6475.4,978.0,190.5,2227.5
2007-12-01,6516.5,981.3,198.2,2230.0
2008-01-01,6519.3,969.7,210.4,2255.6
2008-02-01,6537.1,961.0,220.8,2260.7
2008-03-01,6563.1,963.4,230.3,2250.5
2008-04-01,6530.4,969.8,237.5,2223.2
2008-05-01,6532.6,968.6,244.9,2208.1
2008-06-01,6534.8,967.4,252.7,2204.6
2008-07-01,6531.9,949.3,259.7,2216.1
2008-08-01,6550.5,961.3,267.7,2219.3
2008-09-01,6557.8,964.2,276.8,2215.7
2008-10-01,6580.6,956.1,287.1,2170.3
2008-11-01,6538.9,960.7,293.6,2123.5
2008-12-01,6434.1,939.9,298.5,2062.9
2009-01-01,6286.9,934.9,300.0,2006.6
2009-02-01,6210.7,911.8,303.2,1955.3
2009-03-01,6177.4,896.2,307.0,1924.6
2009-04-01,6234.8,898.6,311.8,1900.0
2009-05-01,6263.6,900.6,318.0,1890.5
2009-06-01,6263.2,907.8,325.4,1875.7
2009-07-01,6237.9,913.9,333.5,1834.9
2009-08-01,6237.8,936.1,339.2,1803.5
2009-09-01,6234.9,955.9,342.8,1779.0
2009-10-01,6258.4,974.9,344.2,1756.8
2009-11-01,6288.8,1001.8,348.0,1750.0
2009-12-01,6288.7,1029.9,354.8,1749.9
2010-01-01,6245.7,1051.2,364.2,1753.3
2010-02-01,6210.7,1053.1,372.3,1753.8
2010-03-01,6241.9,1066.5,379.0,1743.9
2010-04-01,6315.1,1089.7,383.6,1751.3
2010-05-01,6383.5,1110.0,388.2,1763.6
2010-06-01,6382.0,1112.3,392.0,1777.1
2010-07-01,6409.8,1123.5,395.3,1777.4
2010-08-01,6427.4,1131.2,399.3,1776.6
2010-09-01,6429.0,1133.6,403.9,1775.5
2010-10-01,6458.0,1135.7,408.5,1800.8
2010-11-01,6461.3,1142.4,416.4,1832.9
2010-12-01,6500.6,1155.2,427.9,1881.8
2011-01-01,6553.1,1168.3,442.9,1896.7
2011-02-01,6586.5,1184.0,454.5,1911.6
2011-03-01,6592.0,1190.7,462.8,1903.1
2011-04-01,6594.6,1199.9,467.3,1915.5
2011-05-01,6598.6,1208.8,471.8,1929.7
2011-06-01,6630.5,1228.0,475.8,1945.3
2011-07-01,6695.8,1240.9,479.0,1941.6
2011-08-01,6680.5,1264.5,484.3,1944.4
2011-09-01,6668.1,1255.0,491.6,1955.8
2011-10-01,6629.3,1259.3,499.8,1994.7
2011-11-01,6604.5,1265.7,505.7,2023.0
2011-12-01,6677.6,1286.1,508.3,2049.3
2012-01-01,6780.5,1303.8,508.4,2073.6
2012-02-01,6848.1,1328.6,509.6,2097.6
2012-03-01,6878.8,1336.0,511.9,2119.6
2012-04-01,6890.3,1356.6,515.2,2145.2
2012-05-01,6861.2,1358.1,517.7,2159.2
2012-06-01,6874.3,1354.9,519.5,2150.8
2012-07-01,6862.3,1344.5,520.4,2092.9
2012-08-01,6885.9,1342.9,520.7,2076.8
2012-09-01,6967.7,1349.9,520.4,2090.5
2012-10-01,7002.6,1359.9,520.9,2187.3
2012-11-01,7091.5,1371.8,523.0,2267.2
2012-12-01,7186.5,1361.0,528.2,2526.7
2013-01-01,7050.0,1370.7,533.1,2061.7
2013-02-01,7039.8,1386.4,538.2,2029.5
2013-03-01,7039.2,1407.8,542.4,2000.3
2013-04-01,7072.2,1418.9,545.4,2014.3
2013-05-01,7107.2,1417.9,550.4,2042.2
2013-06-01,7126.9,1398.6,554.8,2066.9
2013-07-01,7093.0,1402.4,560.3,2072.7
2013-08-01,7112.7,1406.6,564.6,2081.4
2013-09-01,7130.3,1428.5,568.7,2091.9
2013-10-01,7145.4,1402.0,571.2,2092.1
2013-11-01,7199.0,1401.9,574.9,2108.6
2013-12-01,7242.4,1401.1,579.6,2134.0
2014-01-01,7309.1,1413.1,584.5,2151.6
2014-02-01,7359.8,1409.8,588.5,2192.5
2014-03-01,7403.3,1417.2,592.3,2226.3
2014-04-01,7398.2,1438.1,595.8,2257.3
2014-05-01,7402.7,1453.0,599.3,2283.4
2014-06-01,7423.7,1466.9,602.6,2315.2
2014-07-01,7456.7,1474.5,605.7,2335.1
2014-08-01,7507.1,1468.6,610.2,2350.7
2014-09-01,7542.1,1461.9,613.9,2364.5
2014-10-01,7583.4,1456.8,619.1,2379.1
2014-11-01,7639.2,1449.4,621.5,2387.0
2014-12-01,7677.3,1463.6,622.4,2384.2
2015-01-01,7717.9,1461.1,618.2,2418.3
2015-02-01,7752.2,1434.8,620.2,2477.1
2015-03-01,7768.5,1415.4,627.8,2450.1
2015-04-01,7796.3,1411.0,640.5,2455.5
2015-05-01,7840.7,1412.8,650.1,2458.2
2015-06-01,7855.4,1416.6,656.0,2470.4
2015-07-01,7884.0,1425.7,658.2,2473.1
2015-08-01,7908.5,1424.8,660.3,2481.2
2015-09-01,7916.4,1425.5,661.8,2488.5
2015-10-01,7946.6,1423.3,663.3,2491.7
2015-11-01,7953.5,1406.2,665.0,2498.3
2015-12-01,7973.8,1418.4,667.0,2503.3
2016-01-01,7991.0,1416.2,668.3,2515.7
2016-02-01,7983.2,1411.2,671.1,2511.4
2016-03-01,8000.6,1410.7,674.6,2523.1
2016-04-01,8024.7,1408.5,679.0,2526.9
2016-05-01,8028.7,1406.9,681.9,2537.1
2016-06-01,8058.4,1418.5,683.6,2537.2
2016-07-01,8100.8,1423.4,683.4,2547.6
2016-08-01,8103.3,1428.2,685.1,2562.8
2016-09-01,8146.2,1440.6,686.6,2571.9
2016-10-01,8185.1,1439.0,688.4,2582.3
2016-11-01,8206.0,1445.8,692.2,2594.4
2016-12-01,8241.6,1448.6,697.8,2610.1
2017-01-01,8284.1,1483.0,705.1,2631.9
2017-02-01,8316.1,1491.8,709.8,2655.1
2017-03-01,8326.3,1505.3,712.2,2673.0
2017-04-01,8370.0,1500.5,712.1,2694.1
2017-05-01,8394.0,1502.5,712.8,2756.7
2017-06-01,8435.6,1505.1,714.6,2733.1
2017-07-01,8476.9,1499.2,720.3,2743.5
2017-08-01,8506.3,1506.6,724.5,2759.7
2017-09-01,8562.8,1517.4,732.8,2780.6
2017-10-01,8610.6,1525.6,737.3,2797.1
2017-11-01,8669.6,1536.0,741.3,2809.0
2017-12-01,8705.3,1534.7,740.3,2828.0
2018-01-01,8743.9,1547.3,741.8,2846.7
2018-02-01,8753.1,1561.8,745.1,2875.9
2018-03-01,8772.1,1564.0,749.0,2901.8
2018-04-01,8804.6,1560.8,749.9,2913.7
2018-05-01,8829.9,1571.6,752.2,2936.9
2018-06-01,8874.4,1579.8,755.1,2952.6
2018-07-01,8928.2,1592.2,761.6,2965.8
2018-08-01,8976.0,1592.3,768.2,2971.6
2018-09-01,8985.4,1580.8,774.7,2978.1
2018-10-01,8984.9,1602.0,772.9,2987.3
2018-11-01,9005.8,1620.7,770.9,2979.2
2018-12-01,9072.1,1658.2,770.0,3050.2
2019-01-01,9169.4,1634.2,773.4,2951.5
2019-02-01,9228.0,1631.8,776.8,2951.3
2019-03-01,9288.5,1616.6,779.7,2949.3
2019-04-01,9277.7,1622.0,783.4,2968.0
2019-05-01,9264.6,1629.7,786.8,2972.9
2019-06-01,9282.3,1633.8,789.9,2969.7
2019-07-01,9280.2,1649.7,789.9,2968.0
2019-08-01,9323.8,1686.1,789.7,2968.0
2019-09-01,9329.9,1695.2,789.4,2974.2
2019-10-01,9379.1,1679.9,792.0,2978.9
2019-11-01,9431.8,1717.6,795.3,2978.6
2019-12-01,9456.5,1695.5,799.3,2983.9
2020-01-01,9560.8,1719.1,800.8,2990.1
2020-02-01,9659.3,1762.3,802.3,2984.1
2020-03-01,9358.1,1636.6,803.9,2978.8
2020-04-01,8661.9,1444.4,799.9,2945.1
2020-05-01,8925.4,1492.9,796.6,2908.9
2020-06-01,9139.1,1598.4,791.7,2876.6
2020-07-01,9246.2,1700.6,797.9,2870.5
2020-08-01,9354.8,1807.9,803.7,2847.9
2020-09-01,9428.9,1900.6,811.6,2838.6
2020-10-01,9500.0,1918.4,807.4,2858.3
2020-11-01,9546.9,1719.6,804.3,2894.7
2020-12-01,9591.2,1641.0,801.3,2959.9
2021-01-01,9658.6,1639.6,811.9,2877.0
2021-02-01,9658.4,1677.3,822.3,2892.6
